Website,Title,Employer,Location,lat,lon,Country,Skills,Skills1,Skills2,Skills3,Skills4,Skills5,Skills6,Skill,Jobs,Country_Percentage,Skills_Percentage,NumberSkills,NumberCountry
http://careers.stackoverflow.com/jobs/93573/senior-backend-engineer-metrigo-gmbh-zalando-se,"Senior Backend Engineer at Metrigo Gmbh (Zalando SE) (Hamburg, Germany)",Metrigo Gmbh (Zalando SE),Hamburg,53.57532,10.01534,Germany,"java,bigdata,lmax,netty",java,bigdata,lmax,netty,,,Cloud Computing,1,34.72,16.89,1,1
http://careers.stackoverflow.com/jobs/94099/technical-ecommerce-search-guru-elasticsearch-the-electronics-online-group,"Technical eCommerce Search Guru / Elasticsearch Expert (m/f) at The Electronics Online Group / redcoon GmbH (member of Media-Saturn Group) (M’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_nchen, Deutschland)",The Electronics Online Group / redcoon GmbH (member of Media-Saturn Group),Munich,48.13743,11.57549,Germany,"java,nosql,php,elasticsearch,lucene",java,nosql,php,elasticsearch,lucene,,Mathematics,1,15.28,42.31,1,1
http://careers.stackoverflow.com/jobs/94227/software-developer-perl-m-f-at-the-start-up-of-savingglobal-gmbh,"Software Developer Perl (m/f) at the Start-up of the year 2015 at SavingGlobal GmbH (Berlin, Deutschland)",SavingGlobal GmbH,Berlin,52.52437,13.41053,Germany,"mysql,linux,perl,otrs",mysql,linux,perl,otrs,,,Statistics,1,1.39,50,1,1
http://careers.stackoverflow.com/jobs/94349/lead-android-developer-f-m-dawanda-gmbh,"Lead Android Developer (f/m) at DaWanda GmbH (Berlin, Deutschland)",DaWanda GmbH,Berlin,52.52437,13.41053,Germany,"dagger,data-binding,mvvm,retrolambda,rx-java",dagger,data-binding,mvvm,retrolambda,rx-java,,Business Intelligence,1,22.22,11.19,1,1
http://careers.stackoverflow.com/jobs/94428/internship-technology-m-f-westwing-home-living,"Internship Technology (m/f) at Westwing Home & Living (M’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_nchen, Deutschland)",Westwing Home & Living,Munich,48.13743,11.57549,Germany,"e-commerce,operations,management,product,technology",e-commerce,operations,management,product,technology,,Data Management,1,2.27,3.85,1,1
http://careers.stackoverflow.com/jobs/94458/site-reliability-engineer-software-engineer-trivago-gmbh,"Site Reliability Engineer / Software Engineer at trivago GmbH (D’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_sseldorf, Deutschland)",trivago GmbH,Dusseldorf,51.22172,6.77616,Germany,"python,c++,php,c,bash",python,c++,php,c,bash,,Data Engineering,1,2.27,0.65,1,1
http://careers.stackoverflow.com/jobs/94669/projektleiter-in-internet-of-things-f’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_r-big-data-festool,"Projektleiter/in Internet of Things f’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_r Big Data Analytics at Festool (Wendlingen, Deutschland)",Festool,Wendlingen am Neckar,48.67124,9.37632,Germany,"machine-learning,r,project-management,agile-project-management",machine-learning,r,project-management,agile-project-management,,,Data Visualization,1,4.55,28.57,1,1
http://careers.stackoverflow.com/jobs/94809/senior-php-symfony2-developer-m-w-exozet-berlin-gmbh,"(Senior) PHP / Symfony2 Developer (m/w) at Exozet Berlin GmbH (Berlin, Deutschland)",Exozet Berlin GmbH,Berlin,52.52437,13.41053,Germany,"php,symfony2,oop,backend,doctrine",php,symfony2,oop,backend,doctrine,,Artificial Intelligence,1,11.36,10.2,1,1
http://careers.stackoverflow.com/jobs/94896/senior-datenbankentwickler-m-w-ms-sql-mysql-infoteam-software-ag,"(Senior) Datenbankentwickler (m/w) MS SQL, MySQL at infoteam Software AG (Bubenreuth, Deutschland)",infoteam Software AG,Bubenreuth,49.62745,11.01723,Germany,"mysql,bigdata,sql-server,vldb",mysql,bigdata,sql-server,vldb,,,Cloud Computing,1,38.64,11.49,1,1
http://careers.stackoverflow.com/jobs/95561/web-application-developer-berlin-nightlife-abend-ag,"Web Application Developer - Berlin Nightlife Startup 55k at Abend AG (Berlin, Deutschland)",Abend AG,Berlin,52.52437,13.41053,Germany,"css,html,javascript,angularjs,cordova",css,html,javascript,angularjs,cordova,,Mathematics,1,2.27,3.85,1,1
http://careers.stackoverflow.com/jobs/95606/senior-linux-it-administrator-european-molecular-biology,"Senior Linux IT Administrator at European Molecular Biology Laboratory (EMBL) (Hamburg, Germany)",European Molecular Biology Laboratory (EMBL),Hamburg,53.57532,10.01534,Germany,"linux,sysadmin",linux,sysadmin,,,,,Business Intelligence,1,38.64,11.89,1,1
http://careers.stackoverflow.com/jobs/95608/senior-computational-scientist-european-molecular-biology,"Senior Computational Scientist at European Molecular Biology Laboratory (EMBL) (Hamburg, Germany)",European Molecular Biology Laboratory (EMBL),Hamburg,53.57532,10.01534,Germany,"c++,c,matlab,fortran",c++,c,matlab,fortran,,,Data Analysis,1,5,6.67,1,1
http://careers.stackoverflow.com/jobs/95802/software-developers-for-back-frontend-maritime-data-systems-gmbh,"Software Developers for Back- & Frontend at Maritime Data Systems GmbH (Hamburg, Deutschland)",Maritime Data Systems GmbH,Hamburg,53.57532,10.01534,Germany,"java,python,angularjs,elasticsearch,postgis",java,python,angularjs,elasticsearch,postgis,,Data Engineering,1,20,2.6,1,1
http://careers.stackoverflow.com/jobs/96078/sap-hana-test-cloud-senior-developer-job-sap-se,"SAP HANA Test Cloud (Senior) Developer Job at SAP SE (Walldorf, Deutschland)",SAP SE,Walldorf,49.30637,8.64236,Germany,"python,c++,linux,unix,perl",python,c++,linux,unix,perl,,Data Visualization,1,10,28.57,1,1
http://careers.stackoverflow.com/jobs/96079/c-plus-plus-senior-developer-for-the-sap-hana-database-sap-se,"C++ (Senior) Developer for the SAP HANA database team Job at SAP SE (Walldorf, Deutschland)",SAP SE,Walldorf,49.30637,8.64236,Germany,"python,c++,linux,git,shell",python,c++,linux,git,shell,,Cloud Computing,1,45,6.08,1,1
http://careers.stackoverflow.com/jobs/96080/associate-developer-for-sap-hana-database-sap-se,"(Associate) Developer for SAP HANA Database Development Infrastructure Job at SAP SE (Walldorf, Deutschland)",SAP SE,Walldorf,49.30637,8.64236,Germany,"python,linux,perl,git,shell",python,linux,perl,git,shell,,Business Intelligence,1,20,2.8,1,1
http://careers.stackoverflow.com/jobs/96081/looking-for-new-talent-c-plus-plus-associate-developer-sap-se,"Looking for New Talent! C++ (Associate) Developer for the SAP HANA database team at SAP SE (Walldorf, Deutschland)",SAP SE,Walldorf,49.30637,8.64236,Germany,"python,c++,linux,database,shell",python,c++,linux,database,shell,,Data Governance,1,7.14,3.33,1,1
http://careers.stackoverflow.com/jobs/96434/software-engineer-android-ios-theamazeapp-ug,"Software Engineer, Android / iOS at TheAmazeApp UG (K’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©ln, Deutschland)",TheAmazeApp UG,Cologne,50.93333,6.95,Germany,"java,android,ios,objective-c",java,android,ios,objective-c,,,Data Engineering,1,28.57,2.6,1,1
http://careers.stackoverflow.com/jobs/96440/consultants-developer-m-w-deutschlandweit-codecentric-ag,"Consultants / Developer (m/w), deutschlandweit at codecentric AG (D’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_sseldorf, Germany)",codecentric AG,Dusseldorf,51.22172,6.77616,Germany,"bigdata,atlassian,continuous-delivery",bigdata,atlassian,continuous-delivery,,,,Cloud Computing,1,28.57,2.7,1,1
